report_id	facility_id	jurisdiction_facility_id	facility_name	registered_business_name	primary_anzsic_class_code	primary_anzsic_class_name	substance_id	substance_name	air_total_emission_kg	suburb	postcode	latitude	longitude
492638	549268	22863	DEALS ROAD LANDFILL	A.J. BAXTER PROPRIETARY LIMITED	2921	Waste Treatment and Disposal Services	20	Carbon monoxide	99051.02284	Clayton South	3169	-37.956586	145.119643
492638	549268	22863	DEALS ROAD LANDFILL	A.J. BAXTER PROPRIETARY LIMITED	2921	Waste Treatment and Disposal Services	69	Oxides of Nitrogen	135360.2982	Clayton South	3169	-37.956586	145.119643
492638	549268	22863	DEALS ROAD LANDFILL	A.J. BAXTER PROPRIETARY LIMITED	2921	Waste Treatment and Disposal Services	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	2571.845666	Clayton South	3169	-37.956586	145.119643
492638	549268	22863	DEALS ROAD LANDFILL	A.J. BAXTER PROPRIETARY LIMITED	2921	Waste Treatment and Disposal Services	70	Particulate Matter ¡Ü10.0 ?m (PM10)	2707.205964	Clayton South	3169	-37.956586	145.119643
492638	549268	22863	DEALS ROAD LANDFILL	A.J. BAXTER PROPRIETARY LIMITED	2921	Waste Treatment and Disposal Services	77	Sulfur dioxide	1620.007993	Clayton South	3169	-37.956586	145.119643
492638	549268	22863	DEALS ROAD LANDFILL	A.J. BAXTER PROPRIETARY LIMITED	2921	Waste Treatment and Disposal Services	85	Total Volatile Organic Compounds	16770.15568	Clayton South	3169	-37.956586	145.119643
492178	535856	23870	Stonier Wines	ACCOLADE WINES FWP PTY LTD	1214	Wine and Other Alcoholic Beverage Manufacturing	85	Total Volatile Organic Compounds	255.974	Merricks	3916	-38.391457	145.06786
491264	524810	4069	Dandenong	ACE WASTE PTY LTD	2921	Waste Treatment and Disposal Services	20	Carbon monoxide	1145.45	Dandenong	3175	-38.022162	145.192089
491264	524810	4069	Dandenong	ACE WASTE PTY LTD	2921	Waste Treatment and Disposal Services	69	Oxides of Nitrogen	5283.48	Dandenong	3175	-38.022162	145.192089
491264	524810	4069	Dandenong	ACE WASTE PTY LTD	2921	Waste Treatment and Disposal Services	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	175.23	Dandenong	3175	-38.022162	145.192089
491264	524810	4069	Dandenong	ACE WASTE PTY LTD	2921	Waste Treatment and Disposal Services	70	Particulate Matter ¡Ü10.0 ?m (PM10)	176.06	Dandenong	3175	-38.022162	145.192089
491264	524810	4069	Dandenong	ACE WASTE PTY LTD	2921	Waste Treatment and Disposal Services	77	Sulfur dioxide	232.866	Dandenong	3175	-38.022162	145.192089
491264	524810	4069	Dandenong	ACE WASTE PTY LTD	2921	Waste Treatment and Disposal Services	85	Total Volatile Organic Compounds	123.51	Dandenong	3175	-38.022162	145.192089
494838	526496	4231	OI Melbourne Plant	ACI OPERATIONS PTY LTD	2010	Glass and Glass Product Manufacturing	20	Carbon monoxide	4491.24	Spotswood	3015	-37.831506	144.891109
494838	526496	4231	OI Melbourne Plant	ACI OPERATIONS PTY LTD	2010	Glass and Glass Product Manufacturing	69	Oxides of Nitrogen	625691.54	Spotswood	3015	-37.831506	144.891109
494838	526496	4231	OI Melbourne Plant	ACI OPERATIONS PTY LTD	2010	Glass and Glass Product Manufacturing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	7464.44	Spotswood	3015	-37.831506	144.891109
494838	526496	4231	OI Melbourne Plant	ACI OPERATIONS PTY LTD	2010	Glass and Glass Product Manufacturing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	23716.91	Spotswood	3015	-37.831506	144.891109
494838	526496	4231	OI Melbourne Plant	ACI OPERATIONS PTY LTD	2010	Glass and Glass Product Manufacturing	77	Sulfur dioxide	167265.41	Spotswood	3015	-37.831506	144.891109
